product,product,count(*)
aboutthebbc,aboutthebbc,7621
aboutthebbc,bbcthree,734
aboutthebbc,cbbc,703
aboutthebbc,cbeebies,182
aboutthebbc,homepageandsearch,2903
aboutthebbc,iplayerradio,1793
aboutthebbc,kl-arts,139
aboutthebbc,kl-bitesize,182
aboutthebbc,kl-earth,174
aboutthebbc,kl-food,351
aboutthebbc,kl-iwonder,358
aboutthebbc,kl-legacy,8
aboutthebbc,kl-miscellaneous,5
aboutthebbc,music,923
aboutthebbc,N/A,2565
aboutthebbc,news,3940
aboutthebbc,newsbeat,203
aboutthebbc,sport,4242
aboutthebbc,taster,72
aboutthebbc,travel,106
aboutthebbc,tvandiplayer,3092
aboutthebbc,UNKNOWN,77
aboutthebbc,weather,1904
bbcthree,aboutthebbc,734
bbcthree,bbcthree,10834
bbcthree,cbbc,1477
bbcthree,cbeebies,227
bbcthree,homepageandsearch,8276
bbcthree,iplayerradio,4165
bbcthree,kl-arts,498
bbcthree,kl-bitesize,559
bbcthree,kl-earth,453
bbcthree,kl-food,980
bbcthree,kl-iwonder,1362
bbcthree,kl-legacy,7
bbcthree,kl-miscellaneous,6
bbcthree,music,2122
bbcthree,N/A,6290
bbcthree,news,9677
bbcthree,newsbeat,1052
bbcthree,sport,10077
bbcthree,taster,335
bbcthree,travel,340
bbcthree,tvandiplayer,5683
bbcthree,UNKNOWN,78
bbcthree,weather,5732
cbbc,aboutthebbc,703
cbbc,bbcthree,1477
cbbc,cbbc,7089
cbbc,cbeebies,593
cbbc,homepageandsearch,3928
cbbc,iplayerradio,2181
cbbc,kl-arts,201
cbbc,kl-bitesize,383
cbbc,kl-earth,194
cbbc,kl-food,536
cbbc,kl-iwonder,610
cbbc,kl-legacy,14
cbbc,kl-miscellaneous,3
cbbc,music,1022
cbbc,N/A,2878
cbbc,news,4483
cbbc,newsbeat,502
cbbc,sport,4408
cbbc,taster,158
cbbc,travel,162
cbbc,tvandiplayer,3539
cbbc,UNKNOWN,49
cbbc,weather,2667
cbeebies,aboutthebbc,182
cbeebies,bbcthree,227
cbeebies,cbbc,593
cbeebies,cbeebies,1883
cbeebies,homepageandsearch,819
cbeebies,iplayerradio,468
cbeebies,kl-arts,34
cbeebies,kl-bitesize,85
cbeebies,kl-earth,31
cbeebies,kl-food,102
cbeebies,kl-iwonder,106
cbeebies,kl-legacy,8
cbeebies,music,197
cbeebies,N/A,565
cbeebies,news,985
cbeebies,newsbeat,78
cbeebies,sport,937
cbeebies,taster,24
cbeebies,travel,36
cbeebies,tvandiplayer,1024
cbeebies,UNKNOWN,9
cbeebies,weather,623
homepageandsearch,aboutthebbc,2903
homepageandsearch,bbcthree,8276
homepageandsearch,cbbc,3928
homepageandsearch,cbeebies,819
homepageandsearch,homepageandsearch,52217
homepageandsearch,iplayerradio,12667
homepageandsearch,kl-arts,1242
homepageandsearch,kl-bitesize,1464
homepageandsearch,kl-earth,1179
homepageandsearch,kl-food,2862
homepageandsearch,kl-iwonder,3183
homepageandsearch,kl-legacy,34
homepageandsearch,kl-miscellaneous,9
homepageandsearch,kl-ww1,1
homepageandsearch,music,5646
homepageandsearch,N/A,17595
homepageandsearch,news,39975
homepageandsearch,newsbeat,2350
homepageandsearch,sport,41493
homepageandsearch,taster,669
homepageandsearch,travel,1200
homepageandsearch,tvandiplayer,19519
homepageandsearch,UNKNOWN,254
homepageandsearch,weather,21633
iplayerradio,aboutthebbc,1793
iplayerradio,bbcthree,4165
iplayerradio,cbbc,2181
iplayerradio,cbeebies,468
iplayerradio,homepageandsearch,12667
iplayerradio,iplayerradio,26309
iplayerradio,kl-arts,604
iplayerradio,kl-bitesize,646
iplayerradio,kl-earth,592
iplayerradio,kl-food,1504
iplayerradio,kl-iwonder,1637
iplayerradio,kl-legacy,29
iplayerradio,kl-miscellaneous,9
iplayerradio,kl-ww1,1
iplayerradio,music,4447
iplayerradio,N/A,13559
iplayerradio,news,17471
iplayerradio,newsbeat,1254
iplayerradio,sport,17775
iplayerradio,taster,362
iplayerradio,travel,509
iplayerradio,tvandiplayer,11835
iplayerradio,UNKNOWN,153
iplayerradio,weather,10216
kl-arts,aboutthebbc,139
kl-arts,bbcthree,498
kl-arts,cbbc,201
kl-arts,cbeebies,34
kl-arts,homepageandsearch,1242
kl-arts,iplayerradio,604
kl-arts,kl-arts,1678
kl-arts,kl-bitesize,128
kl-arts,kl-earth,177
kl-arts,kl-food,153
kl-arts,kl-iwonder,297
kl-arts,kl-legacy,2
kl-arts,kl-miscellaneous,1
kl-arts,music,320
kl-arts,N/A,959
kl-arts,news,1442
kl-arts,newsbeat,148
kl-arts,sport,1549
kl-arts,taster,95
kl-arts,travel,71
kl-arts,tvandiplayer,833
kl-arts,UNKNOWN,12
kl-arts,weather,847
kl-bitesize,aboutthebbc,182
kl-bitesize,bbcthree,559
kl-bitesize,cbbc,383
kl-bitesize,cbeebies,85
kl-bitesize,homepageandsearch,1464
kl-bitesize,iplayerradio,646
kl-bitesize,kl-arts,128
kl-bitesize,kl-bitesize,2438
kl-bitesize,kl-earth,151
kl-bitesize,kl-food,207
kl-bitesize,kl-iwonder,410
kl-bitesize,kl-legacy,17
kl-bitesize,music,326
kl-bitesize,N/A,1016
kl-bitesize,news,1689
kl-bitesize,newsbeat,152
kl-bitesize,sport,1766
kl-bitesize,taster,65
kl-bitesize,travel,71
kl-bitesize,tvandiplayer,1063
kl-bitesize,UNKNOWN,22
kl-bitesize,weather,1012
kl-earth,aboutthebbc,174
kl-earth,bbcthree,453
kl-earth,cbbc,194
kl-earth,cbeebies,31
kl-earth,homepageandsearch,1179
kl-earth,iplayerradio,592
kl-earth,kl-arts,177
kl-earth,kl-bitesize,151
kl-earth,kl-earth,1876
kl-earth,kl-food,188
kl-earth,kl-iwonder,367
kl-earth,music,260
kl-earth,N/A,1143
kl-earth,news,1575
kl-earth,newsbeat,139
kl-earth,sport,1638
kl-earth,taster,59
kl-earth,travel,65
kl-earth,tvandiplayer,758
kl-earth,UNKNOWN,13
kl-earth,weather,770
kl-food,aboutthebbc,351
kl-food,bbcthree,980
kl-food,cbbc,536
kl-food,cbeebies,102
kl-food,homepageandsearch,2862
kl-food,iplayerradio,1504
kl-food,kl-arts,153
kl-food,kl-bitesize,207
kl-food,kl-earth,188
kl-food,kl-food,5230
kl-food,kl-iwonder,468
kl-food,kl-legacy,5
kl-food,kl-miscellaneous,2
kl-food,music,617
kl-food,N/A,2094
kl-food,news,3451
kl-food,newsbeat,324
kl-food,sport,3361
kl-food,taster,91
kl-food,travel,178
kl-food,tvandiplayer,1861
kl-food,UNKNOWN,34
kl-food,weather,2217
kl-iwonder,aboutthebbc,358
kl-iwonder,bbcthree,1362
kl-iwonder,cbbc,610
kl-iwonder,cbeebies,106
kl-iwonder,homepageandsearch,3183
kl-iwonder,iplayerradio,1637
kl-iwonder,kl-arts,297
kl-iwonder,kl-bitesize,410
kl-iwonder,kl-earth,367
kl-iwonder,kl-food,468
kl-iwonder,kl-iwonder,4740
kl-iwonder,kl-legacy,2
kl-iwonder,kl-miscellaneous,3
kl-iwonder,music,780
kl-iwonder,N/A,2488
kl-iwonder,news,3888
kl-iwonder,newsbeat,510
kl-iwonder,sport,4245
kl-iwonder,taster,174
kl-iwonder,travel,157
kl-iwonder,tvandiplayer,2179
kl-iwonder,UNKNOWN,44
kl-iwonder,weather,2245
kl-legacy,aboutthebbc,8
kl-legacy,bbcthree,7
kl-legacy,cbbc,14
kl-legacy,cbeebies,8
kl-legacy,homepageandsearch,34
kl-legacy,iplayerradio,29
kl-legacy,kl-arts,2
kl-legacy,kl-bitesize,17
kl-legacy,kl-food,5
kl-legacy,kl-iwonder,2
kl-legacy,kl-legacy,86
kl-legacy,music,8
kl-legacy,N/A,25
kl-legacy,news,44
kl-legacy,newsbeat,1
kl-legacy,sport,40
kl-legacy,taster,1
kl-legacy,tvandiplayer,39
kl-legacy,UNKNOWN,1
kl-legacy,weather,35
kl-miscellaneous,aboutthebbc,5
kl-miscellaneous,bbcthree,6
kl-miscellaneous,cbbc,3
kl-miscellaneous,homepageandsearch,9
kl-miscellaneous,iplayerradio,9
kl-miscellaneous,kl-arts,1
kl-miscellaneous,kl-food,2
kl-miscellaneous,kl-iwonder,3
kl-miscellaneous,kl-miscellaneous,17
kl-miscellaneous,music,4
kl-miscellaneous,N/A,11
kl-miscellaneous,news,12
kl-miscellaneous,newsbeat,1
kl-miscellaneous,sport,12
kl-miscellaneous,tvandiplayer,9
kl-miscellaneous,weather,8
kl-ww1,homepageandsearch,1
kl-ww1,iplayerradio,1
kl-ww1,kl-ww1,1
kl-ww1,N/A,1
kl-ww1,sport,1
kl-ww1,tvandiplayer,1
music,aboutthebbc,923
music,bbcthree,2122
music,cbbc,1022
music,cbeebies,197
music,homepageandsearch,5646
music,iplayerradio,4447
music,kl-arts,320
music,kl-bitesize,326
music,kl-earth,260
music,kl-food,617
music,kl-iwonder,780
music,kl-legacy,8
music,kl-miscellaneous,4
music,music,14603
music,N/A,6056
music,news,7214
music,newsbeat,673
music,sport,7396
music,sprororororort,1
music,taster,179
music,travel,208
music,tvandiplayer,5306
music,UNKNOWN,76
music,weather,4312
N/A,aboutthebbc,2565
N/A,bbcthree,6290
N/A,cbbc,2878
N/A,cbeebies,565
N/A,homepageandsearch,17595
N/A,iplayerradio,13559
N/A,kl-arts,959
N/A,kl-bitesize,1016
N/A,kl-earth,1143
N/A,kl-food,2094
N/A,kl-iwonder,2488
N/A,kl-legacy,25
N/A,kl-miscellaneous,11
N/A,kl-ww1,1
N/A,music,6056
N/A,N/A,33282
N/A,news,24118
N/A,newsbeat,1801
N/A,sport,24874
N/A,taster,535
N/A,travel,718
N/A,tvandiplayer,14433
N/A,UNKNOWN,177
N/A,weather,12891
news,aboutthebbc,3940
news,bbcthree,9677
news,cbbc,4483
news,cbeebies,985
news,homepageandsearch,39975
news,iplayerradio,17471
news,kl-arts,1442
news,kl-bitesize,1689
news,kl-earth,1575
news,kl-food,3451
news,kl-iwonder,3888
news,kl-legacy,44
news,kl-miscellaneous,12
news,music,7214
news,N/A,24118
news,news,86510
news,newsbeat,2745
news,sport,68129
news,taster,767
news,travel,1458
news,tvandiplayer,26717
news,UNKNOWN,326
news,weather,29556
newsbeat,aboutthebbc,203
newsbeat,bbcthree,1052
newsbeat,cbbc,502
newsbeat,cbeebies,78
newsbeat,homepageandsearch,2350
newsbeat,iplayerradio,1254
newsbeat,kl-arts,148
newsbeat,kl-bitesize,152
newsbeat,kl-earth,139
newsbeat,kl-food,324
newsbeat,kl-iwonder,510
newsbeat,kl-legacy,1
newsbeat,kl-miscellaneous,1
newsbeat,music,673
newsbeat,N/A,1801
newsbeat,news,2745
newsbeat,newsbeat,2820
newsbeat,sport,2654
newsbeat,taster,127
newsbeat,travel,114
newsbeat,tvandiplayer,1487
newsbeat,UNKNOWN,24
newsbeat,weather,1701
sport,aboutthebbc,4242
sport,bbcthree,10077
sport,cbbc,4408
sport,cbeebies,937
sport,homepageandsearch,41493
sport,iplayerradio,17775
sport,kl-arts,1549
sport,kl-bitesize,1766
sport,kl-earth,1638
sport,kl-food,3361
sport,kl-iwonder,4245
sport,kl-legacy,40
sport,kl-miscellaneous,12
sport,kl-ww1,1
sport,music,7396
sport,N/A,24874
sport,news,68129
sport,newsbeat,2654
sport,sport,147209
sport,sprororororort,1
sport,taster,767
sport,travel,1443
sport,tvandiplayer,28575
sport,UNKNOWN,310
sport,weather,29107
sprororororort,music,1
sprororororort,sport,1
sprororororort,sprororororort,1
taster,aboutthebbc,72
taster,bbcthree,335
taster,cbbc,158
taster,cbeebies,24
taster,homepageandsearch,669
taster,iplayerradio,362
taster,kl-arts,95
taster,kl-bitesize,65
taster,kl-earth,59
taster,kl-food,91
taster,kl-iwonder,174
taster,kl-legacy,1
taster,music,179
taster,N/A,535
taster,news,767
taster,newsbeat,127
taster,sport,767
taster,taster,810
taster,travel,37
taster,tvandiplayer,485
taster,UNKNOWN,16
taster,weather,513
travel,aboutthebbc,106
travel,bbcthree,340
travel,cbbc,162
travel,cbeebies,36
travel,homepageandsearch,1200
travel,iplayerradio,509
travel,kl-arts,71
travel,kl-bitesize,71
travel,kl-earth,65
travel,kl-food,178
travel,kl-iwonder,157
travel,music,208
travel,N/A,718
travel,news,1458
travel,newsbeat,114
travel,sport,1443
travel,taster,37
travel,travel,1768
travel,tvandiplayer,625
travel,UNKNOWN,57
travel,weather,1094
tvandiplayer,aboutthebbc,3092
tvandiplayer,bbcthree,5683
tvandiplayer,cbbc,3539
tvandiplayer,cbeebies,1024
tvandiplayer,homepageandsearch,19519
tvandiplayer,iplayerradio,11835
tvandiplayer,kl-arts,833
tvandiplayer,kl-bitesize,1063
tvandiplayer,kl-earth,758
tvandiplayer,kl-food,1861
tvandiplayer,kl-iwonder,2179
tvandiplayer,kl-legacy,39
tvandiplayer,kl-miscellaneous,9
tvandiplayer,kl-ww1,1
tvandiplayer,music,5306
tvandiplayer,N/A,14433
tvandiplayer,news,26717
tvandiplayer,newsbeat,1487
tvandiplayer,sport,28575
tvandiplayer,taster,485
tvandiplayer,travel,625
tvandiplayer,tvandiplayer,44671
tvandiplayer,UNKNOWN,168
tvandiplayer,weather,14936
UNKNOWN,aboutthebbc,77
UNKNOWN,bbcthree,78
UNKNOWN,cbbc,49
UNKNOWN,cbeebies,9
UNKNOWN,homepageandsearch,254
UNKNOWN,iplayerradio,153
UNKNOWN,kl-arts,12
UNKNOWN,kl-bitesize,22
UNKNOWN,kl-earth,13
UNKNOWN,kl-food,34
UNKNOWN,kl-iwonder,44
UNKNOWN,kl-legacy,1
UNKNOWN,music,76
UNKNOWN,N/A,177
UNKNOWN,news,326
UNKNOWN,newsbeat,24
UNKNOWN,sport,310
UNKNOWN,taster,16
UNKNOWN,travel,57
UNKNOWN,tvandiplayer,168
UNKNOWN,UNKNOWN,369
UNKNOWN,weather,230
weather,aboutthebbc,1904
weather,bbcthree,5732
weather,cbbc,2667
weather,cbeebies,623
weather,homepageandsearch,21633
weather,iplayerradio,10216
weather,kl-arts,847
weather,kl-bitesize,1012
weather,kl-earth,770
weather,kl-food,2217
weather,kl-iwonder,2245
weather,kl-legacy,35
weather,kl-miscellaneous,8
weather,music,4312
weather,N/A,12891
weather,news,29556
weather,newsbeat,1701
weather,sport,29107
weather,taster,513
weather,travel,1094
weather,tvandiplayer,14936
weather,UNKNOWN,230
weather,weather,39134
