Hour,product,name,count(*)
"2016-06-20 21",sport,sport.page,9669
"2016-06-20 21",sport,sport.football.european_championship.2016.live_coverage.35201025.page,9185
"2016-06-20 21",sport,sport.app.loaded.page,4835
"2016-06-20 21",sport,sport.football.european_championship.euro_2016.schedule.group_stage.page,4292
"2016-06-20 21",sport,sport.football.page,4134
"2016-06-21 21",sport,sport.page,9534
"2016-06-21 21",sport,sport.football.european_championship.2016.live_coverage.36336190.page,6566
"2016-06-21 21",sport,sport.cricket.live_coverage.36211629.page,5413
"2016-06-21 21",sport,sport.app.loaded.page,4745
"2016-06-21 21",sport,sport.football.page,4593
"2016-06-22 18",sport,sport.football.european_championship.2016.live_coverage.36359544.page,13526
"2016-06-22 18",sport,sport.page,9530
"2016-06-22 18",sport,sport.app.loaded.page,5155
"2016-06-22 18",sport,sport.football.page,4703
"2016-06-22 18",sport,sport.football.european_championship.euro_2016.schedule.group_stage.page,4333
"2016-06-22 21",sport,sport.football.european_championship.2016.live_coverage.35201335.page,11111
"2016-06-22 21",sport,sport.page,9543
"2016-06-22 21",sport,sport.app.loaded.page,5039
"2016-06-22 21",sport,sport.football.page,4880
"2016-06-22 21",sport,sport.football.european_championship.euro_2016.schedule.group_stage.page,4540
"2016-06-24 08",news,news.page,4255
"2016-06-24 08",news,news.politics.eu_referendum.live_coverage.36570120.page,1750
"2016-06-24 08",news,news.politics.eu_referendum.story.36615028.page,1579
"2016-06-24 08",news,news.politics.eu_referendum.results.page,850
"2016-06-24 08",news,news.business.market_data.page,781
"2016-06-24 09",news,news.page,4249
"2016-06-24 09",news,news.politics.eu_referendum.live_coverage.36570120.page,1609
"2016-06-24 09",news,news.politics.eu_referendum.story.36615028.page,1010
"2016-06-24 09",news,news.business.market_data.currency.gbp.page,962
"2016-06-24 09",news,news.business.market_data.page,719
"2016-07-06 20",sport,sport.page,12536
"2016-07-06 20",sport,sport.tennis.live_coverage.36385047.page,12527
"2016-07-06 20",sport,sport.football.european_championship.2016.live_coverage.35980320.page,6399
"2016-07-06 20",sport,sport.app.loaded.page,5921
"2016-07-06 20",sport,sport.football.page,2839
